Customer_Name,Customer_Since_Date,ARR,Contract_Duration,Renewal_Date,Prediction_Point,Employee_Count,Annual_Revenue,Products_Purchased,Industry,Zip_Code,City,State,Latitude,Longitude,Churn
"Advanced Interactive Electronics","2015-08-01","33415","12","2016-08-01","2016-02-01","32362","3280193179","enterprise","banking","38581","Rock Island","TN","36.0629415","-86.52743901697508","0"
"Advanced Interactive Electronics","2015-08-01","40670","12","2017-08-01","2017-02-01","32362","3280193179","enterprise","banking","38581","Rock Island","TN","36.0629415","-86.52743901697508","0"
"Advanced Interactive Electronics","2015-08-01","48603","36","2020-08-01","2020-02-01","32362","3280193179","enterprise","banking","38581","Rock Island","TN","36.0629415","-86.52743901697508","0"
"Advanced Interactive Electronics","2015-08-01","43847","12","2021-08-01","2021-02-01","32362","3280193179","enterprise","banking","38581","Rock Island","TN","36.0629415","-86.52743901697508","0"
"Advanced Interactive Electronics","2015-08-01","11951","12","2022-08-01","2022-02-01","32362","3280193179","enterprise","banking","38581","Rock Island","TN","36.0629415","-86.52743901697508","0"
"Advanced Power Application","2020-01-01","185793","12","2021-01-01","2020-07-01","34312","4435330004","premium_plus","banking","67206","Wichita","KS","37.6922361","-97.3375448","0"
"Advanced Power Application","2020-01-01","216789","24","2023-01-01","2022-07-01","34312","4435330004","premium_plus","banking","67206","Wichita","KS","37.6922361","-97.3375448","0"
"Advanced Resource","2011-05-01","140846","12","2012-05-01","2011-11-01","70760","6654255371","business_critical","manufacturing","04077","South Casco","ME","43.9147963","-70.5178343","1"
"Advanced Virtual","2019-06-01","106722","24","2021-06-01","2020-12-01","7413","598571942","business_critical","manufacturing","55446","Minneapolis","MN","44.9772995","-93.2654692","0"
"Advanced Virtual","2019-06-01","137615","12","2022-06-01","2021-12-01","7413","598571942","business_critical","manufacturing","55446","Minneapolis","MN","44.9772995","-93.2654692","0"
"Advanced Virtual Future","2011-05-01","97431","12","2012-05-01","2011-11-01","93510","9877106559","premium_plus","financial services","62446","Mount Erie","IL","38.515049","-88.2311536","1"
"Advanced Vision","2012-08-01","152993","36","2015-08-01","2015-02-01","32302","2354945409","premium_plus","manufacturing","56137","Heron Lake","MN","43.7949593","-95.3202763","0"
"Advanced Vision","2012-08-01","183801","12","2016-08-01","2016-02-01","32302","2354945409","premium_plus","manufacturing","56137","Heron Lake","MN","43.7949593","-95.3202763","0"
"Adventure Advanced Technology","2014-12-01","246888","12","2015-12-01","2015-06-01","23560","2519466523","premium_plus","healthcare","45435","Dayton","OH","39.7589478","-84.1916069","1"
"Adventure Construction Future","2020-06-01","183347","12","2021-06-01","2020-12-01","21446","2005366763","business_critical","telecom","33707","Saint Petersburg","FL","27.7703796","-82.6695085","0"
"Adventure Construction Future","2020-06-01","106902","12","2022-06-01","2021-12-01","21446","2005366763","business_critical","telecom","33707","Saint Petersburg","FL","27.7703796","-82.6695085","0"
"Adventure Construction Power","2017-05-01","94778","24","2019-05-01","2018-11-01","98699","11106956249","business_critical","energy","80001","Arvada","CO","39.8005505","-105.0811573","1"
"Adventure East Industries","2019-10-01","322944","12","2020-10-01","2020-04-01","8489","553478973","premium_plus","banking","15467","New Geneva","PA","39.7881928","-79.9089724","0"
"Adventure East Industries","2019-10-01","125500","12","2021-10-01","2021-04-01","8489","553478973","premium_plus","banking","15467","New Geneva","PA","39.7881928","-79.9089724","0"
"Adventure Future Hardware","2013-06-01","105854","12","2014-06-01","2013-12-01","90374","5418381563","enterprise","healthcare","65590","Long Lane","MO","37.6114305","-92.9093477","1"
"Adventure General Software","2018-09-01","259857","24","2020-09-01","2020-03-01","93111","7601227135","business_critical","retail","77642","Port Arthur","TX","29.8988618","-93.9288723","1"
"Adventure Industries Net","2012-05-01","178627","12","2013-05-01","2012-11-01","72958","6577242725","premium_plus","financial services","07103","Newark","NJ","40.735657","-74.1723667","0"
"Adventure Industries Net","2012-05-01","294808","36","2016-05-01","2015-11-01","72958","6577242725","premium_plus","financial services","07103","Newark","NJ","40.735657","-74.1723667","0"
"Adventure Industries Net","2012-05-01","337863","12","2017-05-01","2016-11-01","72958","6577242725","premium_plus","financial services","07103","Newark","NJ","40.735657","-74.1723667","0"
"Adventure Industries Net","2012-05-01","183944","12","2018-05-01","2017-11-01","72958","6577242725","premium_plus","financial services","07103","Newark","NJ","40.735657","-74.1723667","0"
"Adventure Industries Net","2012-05-01","74606","24","2020-05-01","2019-11-01","72958","6577242725","premium_plus","financial services","07103","Newark","NJ","40.735657","-74.1723667","0"
"Adventure Industries Net","2012-05-01","244426","24","2022-05-01","2021-11-01","72958","6577242725","premium_plus","financial services","07103","Newark","NJ","40.735657","-74.1723667","0"
"Adventure Industries Telecom","2014-12-01","172913","24","2016-12-01","2016-06-01","83440","10066725669","premium_plus","banking","47392","Webster","IN","39.9028923","-84.9460928","1"
"Adventure Pacific","2010-01-01","12699","12","2011-01-01","2010-07-01","59554","5307212335","business_critical","telecom","14754","Little Genesee","NY","42.0270104","-78.2061224","0"
"Adventure Pacific","2010-01-01","15342","12","2012-01-01","2011-07-01","59554","5307212335","business_critical","telecom","14754","Little Genesee","NY","42.0270104","-78.2061224","0"
"Adventure Pacific","2010-01-01","21330","12","2013-01-01","2012-07-01","59554","5307212335","business_critical","telecom","14754","Little Genesee","NY","42.0270104","-78.2061224","0"
"Adventure Pacific","2010-01-01","19603","12","2014-01-01","2013-07-01","59554","5307212335","business_critical","telecom","14754","Little Genesee","NY","42.0270104","-78.2061224","0"
"Adventure Resource Interactive","2012-01-01","229737","12","2013-01-01","2012-07-01","7915","753541631","premium_plus","healthcare","30572","Suches","GA","34.6889792","-84.0221356","1"
"Adventure Source","2017-07-01","123150","12","2018-07-01","2018-01-01","30461","2090454636","premium_plus","financial services","75790","Van","TX","32.5249071","-95.63773","0"
"Adventure Source","2017-07-01","233495","12","2019-07-01","2019-01-01","30461","2090454636","premium_plus","financial services","75790","Van","TX","32.5249071","-95.63773","0"
"Adventure Source","2017-07-01","23349","36","2022-07-01","2022-01-01","30461","2090454636","premium_plus","financial services","75790","Van","TX","32.5249071","-95.63773","0"
"Adventure Virtual","2017-12-01","209559","12","2018-12-01","2018-06-01","23681","3024094300","business_critical","healthcare","57317","Bonesteel","SD","43.076386","-98.944535","1"
"Alpha Application Analysis","2018-01-01","149668","12","2019-01-01","2018-07-01","38421","3897131888","business_critical","other","54895","Weyerhaeuser","WI","45.4226495","-91.415286","0"
"Alpha Application Analysis","2018-01-01","325612","24","2021-01-01","2020-07-01","38421","3897131888","business_critical","other","54895","Weyerhaeuser","WI","45.4226495","-91.415286","0"
"Alpha Bell Star","2011-04-01","106802","24","2013-04-01","2012-10-01","97826","9610060438","business_critical","retail","16843","Hyde","PA","41.0025571","-78.4625222","1"
"Alpha Construction Star","2012-06-01","176400","24","2014-06-01","2013-12-01","60330","4823327051","premium_plus","healthcare","18657","Tunkhannock","PA","41.5385159","-75.946844","1"
"Alpha Direct Internet","2016-03-01","64978","36","2019-03-01","2018-09-01","54080","5009033124","premium_plus","healthcare","27834","Greenville","NC","35.613224","-77.3724593","1"
"Alpha East Research","2015-06-01","278633","36","2018-06-01","2017-12-01","73579","8276860034","business_critical","retail","66782","West Mineral","KS","37.2842249","-94.9230182","0"
"Alpha East Research","2015-06-01","330461","12","2019-06-01","2018-12-01","73579","8276860034","business_critical","retail","66782","West Mineral","KS","37.2842249","-94.9230182","0"
"Alpha East Research","2015-06-01","182791","24","2021-06-01","2020-12-01","73579","8276860034","business_critical","retail","66782","West Mineral","KS","37.2842249","-94.9230182","0"
"Alpha East Research","2015-06-01","410592","12","2022-06-01","2021-12-01","73579","8276860034","business_critical","retail","66782","West Mineral","KS","37.2842249","-94.9230182","0"
"Alpha Hill","2013-03-01","149795","12","2014-03-01","2013-09-01","89488","7805837283","enterprise","financial services","70160","New Orleans","LA","29.9759983","-90.0782127","1"
"Alpha Hill Source","2014-09-01","67300","12","2015-09-01","2015-03-01","80803","9148963106","enterprise","manufacturing","98637","Nahcotta","WA","46.498432","-124.033496","1"
"Alpha Innovation","2017-02-01","26770","24","2019-02-01","2018-08-01","23905","2458182926","enterprise","healthcare","70740","Grosse Tete","LA","30.4110276","-91.4337211","1"
"Alpha Power Analysis","2015-04-01","84501","24","2017-04-01","2016-10-01","69581","8108859181","premium_plus","other","53401","Racine","WI","42.7260523","-87.7825242","0"
"Alpha Power Analysis","2015-04-01","47044","36","2020-04-01","2019-10-01","69581","8108859181","premium_plus","other","53401","Racine","WI","42.7260523","-87.7825242","0"
"Alpha Software","2011-11-01","70508","12","2012-11-01","2012-05-01","93979","11319212146","premium_plus","insurance","54517","Clam Lake","WI","46.163842","-90.9024046","1"
"Analysis Advanced","2014-07-01","32558","36","2017-07-01","2017-01-01","23064","2645322253","enterprise","retail","83120","Freedom","WY","42.9826645","-111.0438995","0"
"Analysis Advanced","2014-07-01","48077","12","2018-07-01","2018-01-01","23064","2645322253","enterprise","retail","83120","Freedom","WY","42.9826645","-111.0438995","1"
"Analysis Alpha Medicine","2018-05-01","27757","24","2020-05-01","2019-11-01","12113","1123054211","premium_plus","telecom","85714","Tucson","AZ","32.2228765","-110.9748477","1"
"Analysis Atlantic Direct","2011-04-01","98452","36","2014-04-01","2013-10-01","43486","4312219695","premium_plus","manufacturing","37340","Guild","TN","35.0306323","-85.5352418","0"
"Analysis Atlantic Direct","2011-04-01","142866","24","2016-04-01","2015-10-01","43486","4312219695","premium_plus","manufacturing","37340","Guild","TN","35.0306323","-85.5352418","0"
"Analysis Atlantic Direct","2011-04-01","132560","24","2018-04-01","2017-10-01","43486","4312219695","premium_plus","manufacturing","37340","Guild","TN","35.0306323","-85.5352418","0"
"Analysis Atlantic Direct","2011-04-01","70806","12","2019-04-01","2018-10-01","43486","4312219695","premium_plus","manufacturing","37340","Guild","TN","35.0306323","-85.5352418","0"
"Analysis Atlantic Direct","2011-04-01","100984","24","2021-04-01","2020-10-01","43486","4312219695","premium_plus","manufacturing","37340","Guild","TN","35.0306323","-85.5352418","0"
"Analysis Bell","2013-02-01","55710","24","2015-02-01","2014-08-01","88502","5042728553","business_critical","other","75220","Dallas","TX","32.7762719","-96.7968559","1"
"Analysis Data","2017-08-01","48711","36","2020-08-01","2020-02-01","91834","8497563243","enterprise","healthcare","98385","South Prairie","WA","47.1392684","-122.0981691","1"
"Analysis East","2012-09-01","29997","24","2014-09-01","2014-03-01","19147","1900555773","premium_plus","manufacturing","47111","Charlestown","IN","38.45312","-85.6702407","1"
"Analysis Galaxy Federated","2015-09-01","202977","12","2016-09-01","2016-03-01","36480","3195418018","premium_plus","telecom","37145","Pleasant Shade","TN","36.3781095","-85.9497072","0"
"Analysis Galaxy Federated","2015-09-01","236037","12","2017-09-01","2017-03-01","36480","3195418018","premium_plus","telecom","37145","Pleasant Shade","TN","36.3781095","-85.9497072","0"
"Analysis Galaxy Federated","2015-09-01","331355","12","2018-09-01","2018-03-01","36480","3195418018","premium_plus","telecom","37145","Pleasant Shade","TN","36.3781095","-85.9497072","1"
"Analysis Galaxy People","2019-06-01","65259","12","2020-06-01","2019-12-01","79403","8423111475","premium_plus","financial services","89130","Las Vegas","NV","36.1672559","-115.148516","0"
"Analysis Galaxy People","2019-06-01","36430","24","2022-06-01","2021-12-01","79403","8423111475","premium_plus","financial services","89130","Las Vegas","NV","36.1672559","-115.148516","0"
"Analysis Graphics","2013-06-01","98628","24","2015-06-01","2014-12-01","8639","964756675","enterprise","banking","97409","Alvadore","OR","44.1209817","-123.2642456","0"
"Analysis Graphics","2013-06-01","42028","12","2016-06-01","2015-12-01","8639","964756675","enterprise","banking","97409","Alvadore","OR","44.1209817","-123.2642456","0"
"Analysis Graphics","2013-06-01","48827","36","2019-06-01","2018-12-01","8639","964756675","enterprise","banking","97409","Alvadore","OR","44.1209817","-123.2642456","0"
"Analysis Graphics","2013-06-01","113116","12","2020-06-01","2019-12-01","8639","964756675","enterprise","banking","97409","Alvadore","OR","44.1209817","-123.2642456","0"
"Analysis Interactive Star","2017-11-01","134868","12","2018-11-01","2018-05-01","43541","3164544519","enterprise","insurance","45277","Cincinnati","OH","39.1014537","-84.5124602","1"
"Analysis Medicine Architecture","2019-03-01","127730","12","2020-03-01","2019-09-01","68480","7322027081","business_critical","retail","12175","Summit","NY","42.56343014616695","-74.57529610800681","0"
"Analysis Medicine Architecture","2019-03-01","185744","12","2021-03-01","2020-09-01","68480","7322027081","business_critical","retail","12175","Summit","NY","42.56343014616695","-74.57529610800681","0"
"Analysis Medicine Digital","2014-04-01","135091","36","2017-04-01","2016-10-01","1118","124788519","premium_plus","healthcare","56722","Euclid","MN","47.9718659","-96.6388927","1"
"Analysis Pacific Adventure","2011-04-01","235226","12","2012-04-01","2011-10-01","90061","9048082085","enterprise","insurance","44802","Alvada","OH","41.0503322","-83.4018693","1"
"Analysis Pacific Software","2014-05-01","164393","12","2015-05-01","2014-11-01","88343","9787672243","business_critical","manufacturing","20799","Capitol Heights","MD","38.8849913","-76.9134765","1"
"Analysis Star","2010-10-01","190107","24","2012-10-01","2012-04-01","98868","11198734536","enterprise","other","97304","Salem","OR","44.9391565","-123.033121","1"
"Analysis Studio","2016-10-01","176126","24","2018-10-01","2018-04-01","28233","1946592209","premium_plus","insurance","26690","Swiss","WV","38.2331623","-81.127884","0"
"Analysis Studio","2016-10-01","267712","12","2019-10-01","2019-04-01","28233","1946592209","premium_plus","insurance","26690","Swiss","WV","38.2331623","-81.127884","1"
"Analysis Vision","2019-12-01","64370","12","2020-12-01","2020-06-01","94624","11031498441","enterprise","retail","61924","Chrisman","IL","39.8036467","-87.673635","0"
"Analysis Vision","2019-12-01","50624","24","2022-12-01","2022-06-01","94624","11031498441","enterprise","retail","61924","Chrisman","IL","39.8036467","-87.673635","0"
"Application Advanced Vision","2019-01-01","25043","24","2021-01-01","2020-07-01","70847","7348530326","enterprise","financial services","55406","Minneapolis","MN","44.9772995","-93.2654692","0"
"Application Advanced Vision","2019-01-01","40591","12","2022-01-01","2021-07-01","70847","7348530326","enterprise","financial services","55406","Minneapolis","MN","44.9772995","-93.2654692","0"
"Application Adventure Solutions","2010-11-01","172085","36","2013-11-01","2013-05-01","5507","640304141","enterprise","energy","98537","Cosmopolis","WA","46.955372","-123.773776","0"
"Application Adventure Solutions","2010-11-01","47317","24","2015-11-01","2015-05-01","5507","640304141","enterprise","energy","98537","Cosmopolis","WA","46.955372","-123.773776","1"
"Application Construction","2013-04-01","268386","24","2015-04-01","2014-10-01","47985","3695969750","enterprise","healthcare","41836","Mallie","KY","37.278823","-82.919457","0"
"Application Construction","2013-04-01","580324","36","2018-04-01","2017-10-01","47985","3695969750","enterprise","healthcare","41836","Mallie","KY","37.278823","-82.919457","0"
"Application Construction","2013-04-01","279102","36","2021-04-01","2020-10-01","47985","3695969750","enterprise","healthcare","41836","Mallie","KY","37.278823","-82.919457","0"
"Application Construction","2013-04-01","302178","12","2022-04-01","2021-10-01","47985","3695969750","enterprise","healthcare","41836","Mallie","KY","37.278823","-82.919457","0"
"Application Consulting Federated","2019-11-01","97826","36","2022-11-01","2022-05-01","478","59689330","business_critical","retail","29112","North","SC","33.6157083","-81.1020414","0"
"Application East Atlantic","2012-05-01","105389","36","2015-05-01","2014-11-01","61500","5822045220","enterprise","telecom","88231","Eunice","NM","32.4388224","-103.159002","0"
"Application East Atlantic","2012-05-01","122398","36","2018-05-01","2017-11-01","61500","5822045220","enterprise","telecom","88231","Eunice","NM","32.4388224","-103.159002","0"
"Application East Atlantic","2012-05-01","101643","24","2020-05-01","2019-11-01","61500","5822045220","enterprise","telecom","88231","Eunice","NM","32.4388224","-103.159002","0"
"Application East Atlantic","2012-05-01","108458","24","2022-05-01","2021-11-01","61500","5822045220","enterprise","telecom","88231","Eunice","NM","32.4388224","-103.159002","0"
"Application Frontier Atlantic","2010-06-01","341725","36","2013-06-01","2012-12-01","77136","7110385629","premium_plus","banking","56514","Barnesville","MN","46.652182","-96.41979","0"
"Application Frontier Atlantic","2010-06-01","683875","36","2016-06-01","2015-12-01","77136","7110385629","premium_plus","banking","56514","Barnesville","MN","46.652182","-96.41979","0"
"Application Frontier Atlantic","2010-06-01","592717","12","2017-06-01","2016-12-01","77136","7110385629","premium_plus","banking","56514","Barnesville","MN","46.652182","-96.41979","0"
"Application Frontier Atlantic","2010-06-01","460282","12","2018-06-01","2017-12-01","77136","7110385629","premium_plus","banking","56514","Barnesville","MN","46.652182","-96.41979","0"
"Application Future","2017-03-01","341637","24","2019-03-01","2018-09-01","36904","3569946942","enterprise","telecom","95910","Alleghany","CA","39.4696486","-120.8432836","1"
"Application General","2020-03-01","114506","12","2021-03-01","2020-09-01","66875","5111614404","enterprise","retail","01264","Tyringham","MA","42.2515256","-73.1969508","0"
"Application General","2020-03-01","161214","12","2022-03-01","2021-09-01","66875","5111614404","enterprise","retail","01264","Tyringham","MA","42.2515256","-73.1969508","0"
"Application Hill Architecture","2019-03-01","139587","12","2020-03-01","2019-09-01","19163","1508316931","business_critical","financial services","97351","Independence","OR","44.8560029","-123.191303","0"
"Application Hill Architecture","2019-03-01","120104","12","2021-03-01","2020-09-01","19163","1508316931","business_critical","financial services","97351","Independence","OR","44.8560029","-123.191303","0"
"Application Hill Architecture","2019-03-01","234457","12","2022-03-01","2021-09-01","19163","1508316931","business_critical","financial services","97351","Independence","OR","44.8560029","-123.191303","0"
"Application Industries Star","2012-01-01","112262","24","2014-01-01","2013-07-01","18924","1609489666","business_critical","energy","33280","Miami","FL","25.7741728","-80.19362","0"
"Application Industries Star","2012-01-01","132219","12","2015-01-01","2014-07-01","18924","1609489666","business_critical","energy","33280","Miami","FL","25.7741728","-80.19362","0"
"Application Industries Star","2012-01-01","88899","12","2016-01-01","2015-07-01","18924","1609489666","business_critical","energy","33280","Miami","FL","25.7741728","-80.19362","0"
"Application Industries Star","2012-01-01","161736","12","2017-01-01","2016-07-01","18924","1609489666","business_critical","energy","33280","Miami","FL","25.7741728","-80.19362","0"
"Application Industries Star","2012-01-01","118006","12","2018-01-01","2017-07-01","18924","1609489666","business_critical","energy","33280","Miami","FL","25.7741728","-80.19362","0"
"Application Industries Star","2012-01-01","147717","12","2019-01-01","2018-07-01","18924","1609489666","business_critical","energy","33280","Miami","FL","25.7741728","-80.19362","0"
"Application Industries Star","2012-01-01","185461","12","2020-01-01","2019-07-01","18924","1609489666","business_critical","energy","33280","Miami","FL","25.7741728","-80.19362","0"
"Application Industries Star","2012-01-01","128618","24","2022-01-01","2021-07-01","18924","1609489666","business_critical","energy","33280","Miami","FL","25.7741728","-80.19362","0"
"Application Innovation Pacific","2018-05-01","41167","12","2019-05-01","2018-11-01","56408","4110770103","premium_plus","manufacturing","54812","Barron","WI","45.4013471","-91.8490626","1"
"Application Omega","2015-02-01","83666","12","2016-02-01","2015-08-01","88111","11450850235","premium_plus","insurance","27878","Sharpsburg","NC","35.8671926","-77.8276196","1"
"Application Provider","2018-11-01","82119","24","2020-11-01","2020-05-01","97387","7087797907","business_critical","financial services","60204","Evanston","IL","42.0447388","-87.6930459","0"
"Application Provider","2018-11-01","73668","12","2021-11-01","2021-05-01","97387","7087797907","business_critical","financial services","60204","Evanston","IL","42.0447388","-87.6930459","0"
"Application Provider","2018-11-01","150761","12","2022-11-01","2022-05-01","97387","7087797907","business_critical","financial services","60204","Evanston","IL","42.0447388","-87.6930459","0"
"Application Provider Construction","2017-08-01","277439","24","2019-08-01","2019-02-01","76469","8925400282","premium_plus","retail","89413","Glenbrook","NV","39.0893525","-119.9390724","1"
"Application Provider Speed","2013-10-01","91708","24","2015-10-01","2015-04-01","76549","8237061031","premium_plus","healthcare","45816","Benton Ridge","OH","41.0047752","-83.7941035","0"
"Application Provider Speed","2013-10-01","130054","36","2018-10-01","2018-04-01","76549","8237061031","premium_plus","healthcare","45816","Benton Ridge","OH","41.0047752","-83.7941035","0"
"Application Provider Speed","2013-10-01","18161","36","2021-10-01","2021-04-01","76549","8237061031","premium_plus","healthcare","45816","Benton Ridge","OH","41.0047752","-83.7941035","1"
"Application Research Power","2018-08-01","58084","12","2019-08-01","2019-02-01","4820","487767662","premium_plus","healthcare","24005","Roanoke","VA","37.270973","-79.9414313","0"
"Application Research Power","2018-08-01","38630","12","2020-08-01","2020-02-01","4820","487767662","premium_plus","healthcare","24005","Roanoke","VA","37.270973","-79.9414313","0"
"Application Research Power","2018-08-01","68912","12","2021-08-01","2021-02-01","4820","487767662","premium_plus","healthcare","24005","Roanoke","VA","37.270973","-79.9414313","0"
"Application Research Power","2018-08-01","78795","12","2022-08-01","2022-02-01","4820","487767662","premium_plus","healthcare","24005","Roanoke","VA","37.270973","-79.9414313","0"
"Application South East","2014-04-01","176557","24","2016-04-01","2015-10-01","57547","5554781642","enterprise","energy","54002","Baldwin","WI","44.9666323","-92.3743576","0"
"Application South East","2014-04-01","203838","24","2018-04-01","2017-10-01","57547","5554781642","enterprise","energy","54002","Baldwin","WI","44.9666323","-92.3743576","0"
"Application South East","2014-04-01","177176","36","2021-04-01","2020-10-01","57547","5554781642","enterprise","energy","54002","Baldwin","WI","44.9666323","-92.3743576","0"
"Application South East","2014-04-01","282894","12","2022-04-01","2021-10-01","57547","5554781642","enterprise","energy","54002","Baldwin","WI","44.9666323","-92.3743576","0"
"Application Star Source","2015-08-01","61718","12","2016-08-01","2016-02-01","66642","7363982390","business_critical","energy","84018","Croydon","UT","41.0685562","-111.5138141","0"
"Application Star Source","2015-08-01","80478","24","2018-08-01","2018-02-01","66642","7363982390","business_critical","energy","84018","Croydon","UT","41.0685562","-111.5138141","0"
"Application Star Source","2015-08-01","93887","12","2019-08-01","2019-02-01","66642","7363982390","business_critical","energy","84018","Croydon","UT","41.0685562","-111.5138141","0"
"Application Star Source","2015-08-01","129241","36","2022-08-01","2022-02-01","66642","7363982390","business_critical","energy","84018","Croydon","UT","41.0685562","-111.5138141","0"
"Application Universal Building","2020-11-01","121938","24","2022-11-01","2022-05-01","68456","5472723399","enterprise","banking","81157","Pagosa Springs","CO","37.2695661","-107.010816","0"
"Application Vision Pacific","2017-10-01","10000","24","2019-10-01","2019-04-01","1679","133453495","enterprise","insurance","37249","Nashville","TN","36.1622767","-86.7742984","1"
"Architecture Alpha Max","2010-05-01","47187","12","2011-05-01","2010-11-01","32158","3132246390","premium_plus","financial services","67837","Copeland","KS","37.5419685","-100.6296","0"
"Architecture Alpha Max","2010-05-01","41852","24","2013-05-01","2012-11-01","32158","3132246390","premium_plus","financial services","67837","Copeland","KS","37.5419685","-100.6296","0"
"Architecture Alpha Max","2010-05-01","95115","12","2014-05-01","2013-11-01","32158","3132246390","premium_plus","financial services","67837","Copeland","KS","37.5419685","-100.6296","1"
"Architecture Alpha North","2019-11-01","53883","36","2022-11-01","2022-05-01","87232","7338032164","enterprise","manufacturing","47801","Terre Haute","IN","39.4667025","-87.4139119","0"
"Architecture Application Studio","2014-09-01","39853","12","2015-09-01","2015-03-01","46191","3991465709","enterprise","other","48442","Holly","MI","42.7919727","-83.6277255","1"
"Architecture Bell Omega","2011-10-01","141665","36","2014-10-01","2014-04-01","1354","139849608","enterprise","manufacturing","61943","Oakland","IL","39.6539235","-88.0261471","0"
"Architecture Bell Omega","2011-10-01","158673","12","2015-10-01","2015-04-01","1354","139849608","enterprise","manufacturing","61943","Oakland","IL","39.6539235","-88.0261471","0"
"Architecture Bell Omega","2011-10-01","175965","36","2018-10-01","2018-04-01","1354","139849608","enterprise","manufacturing","61943","Oakland","IL","39.6539235","-88.0261471","0"
"Architecture Bell Omega","2011-10-01","111601","12","2019-10-01","2019-04-01","1354","139849608","enterprise","manufacturing","61943","Oakland","IL","39.6539235","-88.0261471","0"
"Architecture Bell Omega","2011-10-01","95517","36","2022-10-01","2022-04-01","1354","139849608","enterprise","manufacturing","61943","Oakland","IL","39.6539235","-88.0261471","0"
"Architecture Digital Virtual","2018-03-01","158521","12","2019-03-01","2018-09-01","26141","3485297535","premium_plus","manufacturing","45680","South Point","OH","38.4178597","-82.5862699","1"
"Architecture Electronic","2014-02-01","114677","12","2015-02-01","2014-08-01","73311","4580198205","premium_plus","healthcare","68720","Brunswick","NE","42.337469","-97.9706083","1"
"Architecture Power Max","2012-12-01","107864","24","2014-12-01","2014-06-01","42637","4852470603","business_critical","retail","98823","Ephrata","WA","47.3176385","-119.553649","0"
"Architecture Power Max","2012-12-01","83085","36","2017-12-01","2017-06-01","42637","4852470603","business_critical","retail","98823","Ephrata","WA","47.3176385","-119.553649","0"
"Architecture Power Max","2012-12-01","117287","24","2019-12-01","2019-06-01","42637","4852470603","business_critical","retail","98823","Ephrata","WA","47.3176385","-119.553649","0"
