Customer_Name,ARR,Contract_Duration,Prediction_Point,Products_Purchased
Application Adventure Solutions,172085,36,2013-05-01,starter_pack
Application Construction,268386,24,2014-10-01,business_essentials
Application Construction,580324,36,2017-10-01,enterprise
Application Construction,279102,36,2020-10-01,enterprise
Application Construction,302178,12,2021-10-01,business_essentials
Application Consulting Federated,97826,36,2022-05-01,starter_pack
Application East Atlantic,105389,36,2014-11-01,enterprise
Application East Atlantic,122398,36,2017-11-01,business_essentials
Application East Atlantic,101643,24,2019-11-01,business_essentials
Application East Atlantic,108458,24,2021-11-01,enterprise
Application Frontier Atlantic,341725,36,2012-12-01,starter_pack
Application Future,341637,24,2018-09-01,starter_pack
Application General,114506,12,2020-09-01,enterprise
Application General,161214,12,2021-09-01,enterprise
Application Hill Architecture,139587,12,2019-09-01,starter_pack
Application Hill Architecture,120104,12,2020-09-01,business_essentials
Application Hill Architecture,234457,12,2021-09-01,starter_pack
Application Industries Star,112262,24,2013-07-01,business_essentials
Application Industries Star,132219,12,2014-07-01,enterprise
Application Industries Star,88899,12,2015-07-01,enterprise
Application Industries Star,161736,12,2016-07-01,enterprise
Application Industries Star,118006,12,2017-07-01,starter_pack
Application Industries Star,147717,12,2018-07-01,business_essentials
Application Industries Star,185461,12,2019-07-01,business_essentials
Application Industries Star,128618,24,2021-07-01,starter_pack
Application Innovation Pacific,41167,12,2018-11-01,starter_pack
Application Innovation Pacific,82799,24,2020-11-01,enterprise
Application Innovation Pacific,12222,12,2021-11-01,business_essentials
Application Omega,83666,12,2015-08-01,enterprise
Application Provider,82119,24,2020-05-01,starter_pack
Application Provider,73668,12,2021-05-01,starter_pack
Application Provider,150761,12,2022-05-01,business_essentials
Application Provider Construction,277439,24,2019-02-01,starter_pack
Application Provider Speed,91708,24,2015-04-01,starter_pack
Application Provider Speed,130054,36,2018-04-01,starter_pack
Application Provider Speed,18161,36,2021-04-01,business_essentials
Application Research Power,58084,12,2019-02-01,enterprise
Application Research Power,38630,12,2020-02-01,enterprise
Application Research Power,68912,12,2021-02-01,starter_pack
Application Research Power,78795,12,2022-02-01,enterprise
Application South East,176557,24,2015-10-01,business_essentials
Application South East,203838,24,2017-10-01,enterprise
Application South East,177176,36,2020-10-01,business_essentials
Application South East,282894,12,2021-10-01,starter_pack
Application Star Source,61718,12,2016-02-01,enterprise
Application Star Source,80478,24,2018-02-01,business_essentials
Application Star Source,93887,12,2019-02-01,enterprise
Application Star Source,129241,36,2022-02-01,starter_pack
Application Universal Building,121938,24,2022-05-01,business_essentials
Application Vision Pacific,10000,24,2019-04-01,starter_pack
Application Vision Pacific,10000,12,2020-04-01,starter_pack
Application Vision Pacific,10000,12,2021-04-01,enterprise
Application Vision Pacific,13130,12,2022-04-01,enterprise
Architecture Alpha Max,47187,12,2010-11-01,enterprise
Architecture Alpha North,53883,36,2022-05-01,business_essentials
Architecture Application Studio,39853,12,2015-03-01,enterprise
Architecture Application Studio,43019,36,2018-03-01,starter_pack
Architecture Bell Omega,141665,36,2014-04-01,business_essentials
Architecture Digital Virtual,158521,12,2018-09-01,business_essentials
Architecture Electronic,114677,12,2014-08-01,business_essentials
Architecture Electronic,24120,12,2015-08-01,business_essentials
Architecture Power Max,107864,24,2014-06-01,starter_pack
Architecture Power Max,83085,36,2017-06-01,enterprise
Architecture Power Max,117287,24,2019-06-01,enterprise
Architecture Power Max,106876,24,2021-06-01,starter_pack
Architecture Resource Net,101728,12,2011-09-01,enterprise
Architecture Software Signal,106023,12,2013-09-01,business_essentials
Architecture Solutions Digital,126431,36,2020-08-01,business_essentials
Architecture Solutions Digital,145261,12,2021-08-01,starter_pack
Architecture Solutions Digital,173789,12,2022-08-01,enterprise
Architecture Technology Venture,39334,12,2019-02-01,enterprise
Architecture Virtual,17898,12,2016-10-01,enterprise
Architecture Virtual,28587,36,2019-10-01,starter_pack
Architecture Virtual Max,39549,36,2014-05-01,business_essentials
Architecture Vision,190810,12,2015-06-01,business_essentials
Atlantic Advanced,232216,24,2011-12-01,business_essentials
Atlantic Advanced,195943,12,2012-12-01,business_essentials
Atlantic Advanced,384447,12,2013-12-01,business_essentials
Atlantic Advanced,528267,12,2014-12-01,starter_pack
Atlantic Advanced,452668,12,2015-12-01,enterprise
Atlantic Alpha Construction,235795,12,2018-08-01,starter_pack
Atlantic Analysis Innovation,10000,12,2019-09-01,starter_pack
Atlantic Architecture,151152,24,2015-12-01,enterprise
Atlantic Architecture,52147,12,2016-12-01,business_essentials
Atlantic Architecture,191811,12,2017-12-01,business_essentials
Atlantic Architecture,263489,12,2018-12-01,starter_pack
Atlantic Architecture Vision,34306,12,2015-06-01,starter_pack
Atlantic Consulting,165423,12,2019-06-01,starter_pack
Atlantic Consulting,165791,12,2020-06-01,enterprise
Atlantic Consulting Electronic,275456,12,2012-06-01,business_essentials
Atlantic Consulting Electronic,227035,12,2013-06-01,enterprise
Atlantic Consulting Electronic,445237,24,2015-06-01,starter_pack
Atlantic Consulting Electronic,204201,24,2017-06-01,enterprise
Atlantic Consulting Electronic,18357,36,2020-06-01,enterprise
Atlantic Data Technology,177268,12,2020-09-01,business_essentials
Atlantic Data Technology,227603,12,2021-09-01,starter_pack
Atlantic Data Vision,182501,12,2015-05-01,starter_pack
Atlantic Data Vision,203312,12,2016-05-01,starter_pack
Atlantic Data Vision,366070,24,2018-05-01,enterprise
Atlantic Data Vision,294526,24,2020-05-01,starter_pack
Atlantic Direct Max,157701,36,2015-07-01,starter_pack
Atlantic Direct North,12391,24,2012-10-01,starter_pack
Atlantic Direct North,10000,24,2014-10-01,starter_pack
Atlantic Direct North,10000,12,2015-10-01,enterprise
Atlantic Direct North,20676,24,2017-10-01,enterprise
Atlantic Direct North,17403,12,2018-10-01,enterprise
Atlantic East Signal,202572,12,2017-03-01,starter_pack
Atlantic Federated,199836,36,2020-12-01,enterprise
Atlantic General Speed,71659,24,2014-11-01,business_essentials
Atlantic Graphics,220412,36,2019-11-01,enterprise
Atlantic Hardware Signal,28955,36,2012-11-01,business_essentials
Atlantic Max,89273,36,2013-09-01,enterprise
Atlantic Max Alpha,227242,12,2018-03-01,enterprise
Atlantic Max Alpha,283784,12,2019-03-01,business_essentials
Atlantic Max Alpha,384865,24,2021-03-01,business_essentials
Atlantic Max Alpha,208372,12,2022-03-01,enterprise
Atlantic Net Network,80393,24,2018-06-01,business_essentials
Atlantic Net Network,87429,24,2020-06-01,starter_pack
Atlantic Net Network,83838,12,2021-06-01,enterprise
Atlantic Net Network,111935,12,2022-06-01,enterprise
Atlantic Net Star,111330,12,2016-11-01,starter_pack
Atlantic Speed Construction,236230,24,2014-11-01,enterprise
Atlantic Speed Net,87776,12,2013-02-01,enterprise
Atlantic Universal Power,183089,12,2014-10-01,starter_pack
Bell Consulting Universal,100033,24,2011-10-01,enterprise
Bell Consulting Universal,70578,24,2013-10-01,business_essentials
Bell Consulting Universal,92380,24,2015-10-01,business_essentials
Bell Digital Consulting,273915,24,2021-01-01,enterprise
Bell Galaxy General,105498,24,2019-01-01,starter_pack
Bell Galaxy General,165034,12,2020-01-01,starter_pack
Bell Galaxy General,233283,24,2022-01-01,starter_pack
Bell Hill Solutions,179594,24,2021-02-01,starter_pack
Bell Hill Solutions,335198,12,2022-02-01,enterprise
Bell Industries Power,163429,12,2013-01-01,enterprise
Bell Net Hill,43569,36,2018-12-01,business_essentials
Bell Net Hill,78413,12,2019-12-01,enterprise
Bell Net Hill,39899,12,2020-12-01,starter_pack
Bell North Digital,33627,12,2014-01-01,enterprise
Bell Pacific Network,76573,12,2013-10-01,enterprise
Bell Resource Electronic,35708,12,2014-03-01,business_essentials
Bell Star Construction,281739,12,2018-03-01,business_essentials
Building Adventure,71204,24,2019-05-01,business_essentials
Building Adventure,174192,36,2022-05-01,enterprise
Building Application,10000,24,2019-07-01,business_essentials
Building Application,10827,12,2020-07-01,business_essentials
Building Application,10000,12,2021-07-01,starter_pack
Building Design Max,149834,24,2013-02-01,enterprise
Building East Star,123813,24,2012-06-01,business_essentials
Building East Star,159403,24,2014-06-01,enterprise
Building East Star,169206,12,2015-06-01,enterprise
Building East Star,133216,12,2016-06-01,enterprise
Building East Star,154089,36,2019-06-01,enterprise
Building Federated Pacific,220764,12,2010-12-01,enterprise
Building Federated Pacific,378856,12,2011-12-01,enterprise
Building Federated Pacific,116269,12,2012-12-01,business_essentials
Building Industries Source,198110,36,2013-07-01,enterprise
Building Medicine Digital,10000,12,2013-03-01,enterprise
Building Medicine Digital,10000,12,2014-03-01,starter_pack
Building Resource,100473,36,2020-07-01,enterprise
Building Resource,15958,12,2021-07-01,starter_pack
Building Signal Technology,89878,24,2012-04-01,business_essentials
Building Signal Technology,129848,12,2013-04-01,enterprise
Building Signal Technology,161776,24,2015-04-01,starter_pack
Building Signal Technology,10000,12,2016-04-01,starter_pack
Building Signal Technology,113693,12,2017-04-01,business_essentials
Building Studio Architecture,171606,12,2016-08-01,starter_pack
Construction Adventure,200884,12,2010-12-01,enterprise
Construction Bell Systems,117884,24,2020-02-01,starter_pack
Construction Bell Systems,85676,12,2021-02-01,business_essentials
Construction Bell Systems,127023,12,2022-02-01,starter_pack
Construction Building,141680,36,2016-09-01,enterprise
Construction Building,207857,12,2017-09-01,starter_pack
Construction Building,173434,36,2020-09-01,business_essentials
Construction Building,88271,12,2021-09-01,starter_pack
Construction Building Alpha,67641,24,2011-10-01,starter_pack
Construction Consulting,210043,12,2017-04-01,business_essentials
Construction Max,243538,24,2018-03-01,business_essentials
Construction Max,359440,24,2020-03-01,enterprise
Construction Max,343498,12,2021-03-01,starter_pack
Construction People Star,193667,36,2018-12-01,enterprise
Construction Power,249639,24,2020-03-01,enterprise
Construction Power,366127,12,2021-03-01,business_essentials
Construction Resource Solutions,76532,12,2013-11-01,enterprise
Construction Star,114262,12,2020-10-01,enterprise
Construction Systems Star,97030,24,2015-12-01,starter_pack
Construction Technology,121005,12,2015-02-01,business_essentials
Construction Technology Electronics,163485,36,2015-12-01,starter_pack
Construction Virtual Star,52246,24,2018-01-01,starter_pack
Construction Vision Bell,99617,12,2020-06-01,starter_pack
Consulting Analysis Consulting,94708,36,2022-05-01,starter_pack
Consulting Electronics,152253,24,2021-10-01,business_essentials
Consulting Future,42823,24,2022-02-01,enterprise
Consulting Internet Hardware,116421,24,2013-06-01,enterprise
Consulting Medicine Graphics,84808,36,2021-12-01,starter_pack
Consulting Net Electronic,165407,12,2016-07-01,enterprise
Consulting Network Future,166543,12,2017-11-01,business_essentials
Consulting Network Future,205903,24,2019-11-01,starter_pack
Consulting Network Future,175515,24,2021-11-01,business_essentials
Consulting Power Application,178121,12,2017-06-01,business_essentials
Consulting Research,204896,36,2022-01-01,business_essentials
Consulting Research Systems,47892,12,2014-03-01,business_essentials
Consulting Research Systems,85750,36,2017-03-01,enterprise
Consulting Research Systems,75985,12,2018-03-01,enterprise
Consulting Research Systems,76132,12,2019-03-01,starter_pack
Consulting Research Systems,40450,24,2021-03-01,business_essentials
Consulting Research Systems,44842,12,2022-03-01,business_essentials
Consulting Solutions Medicine,122314,24,2020-08-01,enterprise
Consulting Solutions Medicine,99152,24,2022-08-01,business_essentials
Consulting South Max,312613,24,2015-07-01,enterprise
Consulting South Max,386448,12,2016-07-01,enterprise
Consulting South Max,168549,24,2018-07-01,starter_pack
Consulting South Max,596017,36,2021-07-01,starter_pack
Consulting South Max,186785,12,2022-07-01,business_essentials
Consulting Studio People,107414,12,2011-11-01,business_essentials
Consulting Venture,221058,12,2012-08-01,business_essentials
Contract Alpha Bell,102337,36,2018-08-01,starter_pack
Contract Alpha Bell,236368,12,2019-08-01,business_essentials
Contract Alpha Bell,160125,12,2020-08-01,enterprise
Contract Alpha Bell,227960,12,2021-08-01,enterprise
Contract Alpha Vision,44555,12,2021-03-01,business_essentials
Contract Analysis Pacific,35700,12,2015-08-01,business_essentials
Contract Bell Net,171699,36,2015-08-01,enterprise
Contract Bell Net,98616,24,2017-08-01,business_essentials
Contract Bell Net,357547,12,2018-08-01,enterprise
Contract Bell Net,139321,36,2021-08-01,starter_pack
Contract Building Digital,120324,12,2014-03-01,starter_pack
Contract Building Digital,10000,24,2016-03-01,enterprise
Contract Building Digital,246380,12,2017-03-01,enterprise
Contract Building Digital,200483,24,2019-03-01,starter_pack
Contract Building Digital,89915,24,2021-03-01,enterprise
Contract Direct Power,149662,24,2022-02-01,business_essentials
Contract Electronic Software,123887,24,2011-09-01,starter_pack
Contract Electronics,138829,12,2018-02-01,enterprise
Contract Electronics,122296,36,2021-02-01,enterprise
Contract Electronics,95172,12,2022-02-01,starter_pack
Contract Medicine Direct,214545,36,2018-11-01,enterprise
Contract Power,225611,12,2020-05-01,business_essentials
Contract Power,307019,24,2022-05-01,enterprise
Contract Signal Power,82022,24,2017-09-01,enterprise
Contract Solutions,21786,36,2014-04-01,starter_pack
Contract Speed,63834,12,2015-05-01,starter_pack
Contract Studio,121858,12,2019-05-01,business_essentials
Contract Studio,85035,12,2020-05-01,business_essentials
Contract Studio Network,194624,24,2012-12-01,enterprise
Contract Studio Network,337648,36,2015-12-01,enterprise
Contract Studio Network,296066,24,2017-12-01,business_essentials
Contract Studio Network,44733,12,2018-12-01,enterprise
Contract Studio Network,317438,24,2020-12-01,enterprise
Contract Universal Research,112620,12,2012-01-01,starter_pack
Contract Vision,92376,12,2018-11-01,enterprise
Data Alpha Power,98513,24,2012-11-01,starter_pack
Data Building Consulting,30994,24,2021-04-01,starter_pack
Data Building Consulting,25688,12,2022-04-01,business_essentials
Data Construction Net,106541,12,2011-10-01,enterprise
Data Construction Net,179484,12,2012-10-01,business_essentials
Data Construction Net,119530,24,2014-10-01,enterprise
Data Contract Future,159287,12,2015-09-01,business_essentials
Data Contract Future,129717,12,2016-09-01,starter_pack
Data Contract Future,159497,12,2017-09-01,starter_pack
Data Contract Future,96006,12,2018-09-01,starter_pack
Data Direct,91788,12,2020-04-01,starter_pack
Data Direct,141853,24,2022-04-01,starter_pack
Data Future Digital,67807,12,2012-12-01,enterprise
Data Graphics Technology,234777,36,2017-11-01,starter_pack
Data Graphics Technology,393513,12,2018-11-01,enterprise
Data Graphics Technology,285139,36,2021-11-01,business_essentials
Data Innovation Studio,142129,12,2016-07-01,starter_pack
Data Interactive Vision,38800,12,2012-07-01,enterprise
Data Interactive Vision,25296,12,2013-07-01,starter_pack
Data Interactive Vision,39323,12,2014-07-01,business_essentials
Data Interactive Vision,78379,12,2015-07-01,starter_pack
Data Net,10000,12,2017-12-01,business_essentials
Data Net,20707,12,2018-12-01,starter_pack
Data Net,11367,24,2020-12-01,starter_pack
Data People,240866,24,2015-06-01,enterprise
Data People,141955,36,2018-06-01,starter_pack
Data People,81734,24,2020-06-01,business_essentials
Data People,205981,12,2021-06-01,starter_pack
Data People,150145,12,2022-06-01,starter_pack
Data Solutions West,93918,12,2021-03-01,enterprise
Data Solutions West,110668,12,2022-03-01,business_essentials
Data South West,131417,36,2014-12-01,business_essentials
Data South West,269815,12,2015-12-01,starter_pack
Data South West,60234,24,2017-12-01,starter_pack
Data South West,254560,24,2019-12-01,starter_pack
Data South West,163327,24,2021-12-01,business_essentials
Data Studio Virtual,73696,12,2018-06-01,business_essentials
Data Studio Virtual,37132,36,2021-06-01,business_essentials
Data Telecom Internet,175316,12,2015-11-01,business_essentials
Data Virtual Graphics,167393,12,2015-01-01,starter_pack
Data Vision Federated,10000,24,2017-01-01,enterprise
Data Vision Net,64948,12,2012-12-01,enterprise
Data Vision Net,72472,12,2013-12-01,enterprise
Data Vision Net,147887,36,2016-12-01,starter_pack
Data Vision Net,95084,12,2017-12-01,business_essentials
Design Analysis Innovation,205868,24,2021-02-01,starter_pack
Design Analysis Pacific,10000,36,2020-04-01,starter_pack
Design Direct Omega,131779,24,2019-06-01,enterprise
Design Direct Signal,109608,12,2013-01-01,starter_pack
Design Direct Signal,108621,36,2016-01-01,enterprise
Design Direct Signal,155845,12,2017-01-01,enterprise
Design Direct Signal,120348,24,2019-01-01,starter_pack
Design Federated Future,325912,12,2013-03-01,enterprise
Design Federated Future,318835,36,2016-03-01,enterprise
Design Galaxy South,149512,12,2016-11-01,starter_pack
Design Galaxy South,254650,36,2019-11-01,business_essentials
Design Galaxy South,193104,24,2021-11-01,enterprise
Design General,154213,36,2018-03-01,starter_pack
Design General,228309,36,2021-03-01,business_essentials
Design Hardware Federated,126139,12,2013-12-01,enterprise
Design Industries,210107,12,2020-08-01,starter_pack
Design People,81076,12,2019-03-01,starter_pack
Design People,109757,24,2021-03-01,starter_pack
Design People,46510,12,2022-03-01,enterprise
Design Provider Network,132447,12,2011-08-01,business_essentials
Design Research Max,13177,24,2013-05-01,business_essentials
Design Research Max,11987,12,2014-05-01,business_essentials
Design Research Max,10353,24,2016-05-01,business_essentials
Design Research Max,19725,12,2017-05-01,business_essentials
Design Research Max,13097,24,2019-05-01,enterprise
Design Research Max,10000,12,2020-05-01,enterprise
Design Research Max,13273,12,2021-05-01,enterprise
Design Research Max,10000,12,2022-05-01,business_essentials
Design Technology,104197,12,2011-02-01,business_essentials
Design Technology,108382,12,2012-02-01,starter_pack
Design Technology,181335,12,2013-02-01,starter_pack
Design Virtual Graphics,125976,36,2016-02-01,enterprise
Design Virtual Graphics,281476,36,2019-02-01,enterprise
Design Virtual Graphics,186093,24,2021-02-01,business_essentials
Digital Analysis Research,45564,12,2014-04-01,starter_pack
Digital Application Future,267371,36,2021-06-01,starter_pack
Digital Architecture,84894,12,2010-08-01,business_essentials
Digital Architecture Provider,169061,36,2014-05-01,starter_pack
Digital Architecture Provider,146494,24,2016-05-01,enterprise
Digital Architecture Provider,95282,24,2018-05-01,enterprise
Digital Architecture Provider,89628,12,2019-05-01,enterprise
Digital Architecture Provider,235275,12,2020-05-01,business_essentials
Digital Architecture Provider,296300,24,2022-05-01,business_essentials
Digital Consulting Electronics,131961,24,2020-06-01,enterprise
Digital Data,224492,12,2020-09-01,starter_pack
Digital Design Signal,54116,36,2021-08-01,starter_pack
Digital Design Software,160109,12,2012-11-01,starter_pack
Digital East Data,116879,12,2013-01-01,enterprise
Digital East Data,241407,12,2014-01-01,business_essentials
Digital East Data,76662,24,2016-01-01,business_essentials
Digital East Data,214579,36,2019-01-01,starter_pack
Digital East Data,101666,12,2020-01-01,enterprise
Digital Federated,136360,24,2013-06-01,business_essentials
Digital Innovation Consulting,130362,36,2017-06-01,starter_pack
Digital Innovation Consulting,125343,12,2018-06-01,business_essentials
Digital Innovation Consulting,158448,12,2019-06-01,enterprise
Digital Omega Research,69340,12,2012-11-01,business_essentials
Digital Omega Venture,116688,12,2012-01-01,business_essentials
Digital Omega Venture,89177,12,2013-01-01,starter_pack
Digital Omega Venture,156542,12,2014-01-01,business_essentials
Digital Omega Venture,147029,36,2017-01-01,enterprise
Digital People Medicine,146165,12,2017-05-01,starter_pack
Digital People Medicine,229687,24,2019-05-01,business_essentials
Digital People Medicine,106430,12,2020-05-01,starter_pack
Digital People Medicine,135710,24,2022-05-01,starter_pack
Digital Software Design,260269,36,2019-09-01,starter_pack
Digital Software Design,202069,12,2020-09-01,business_essentials
Digital Software Design,201581,12,2021-09-01,business_essentials
Digital Source,91382,12,2020-09-01,starter_pack
Digital Source,68771,12,2021-09-01,business_essentials
Digital Speed Hardware,84099,24,2019-11-01,business_essentials
Digital Vision Electronic,142516,12,2015-02-01,business_essentials
Digital Vision Electronic,95521,36,2018-02-01,enterprise
Digital Vision Electronic,132177,12,2019-02-01,enterprise
Digital Vision Electronic,10000,12,2020-02-01,starter_pack
Digital West Architecture,286275,36,2014-02-01,starter_pack
Digital West Architecture,315719,24,2016-02-01,starter_pack
Digital West Architecture,216285,36,2019-02-01,enterprise
Direct Advanced Star,10000,12,2018-11-01,business_essentials
Direct Alpha Venture,23804,24,2013-12-01,business_essentials
Direct Alpha Venture,28113,36,2016-12-01,business_essentials
Direct Alpha Venture,21063,36,2019-12-01,starter_pack
Direct Alpha Venture,24984,12,2020-12-01,enterprise
Direct Application Network,249856,12,2015-03-01,enterprise
Direct Architecture Building,98053,24,2017-06-01,enterprise
Direct Consulting Bell,109902,36,2013-09-01,business_essentials
Direct Contract East,132337,12,2015-11-01,enterprise
Direct Contract East,145801,24,2017-11-01,starter_pack
Direct Contract East,143290,36,2020-11-01,starter_pack
Direct Contract East,231716,12,2021-11-01,starter_pack
Direct Direct,181049,12,2015-11-01,enterprise
Direct Federated,133949,12,2019-01-01,business_essentials
Direct Industries Net,184947,24,2019-10-01,starter_pack
Direct Industries Net,256236,12,2020-10-01,enterprise
Direct Net,157207,12,2012-04-01,enterprise
Direct Omega,95171,12,2020-06-01,starter_pack
Direct People,97160,12,2019-11-01,business_essentials
Direct People,159769,12,2020-11-01,enterprise
Direct Research Telecom,218913,12,2016-11-01,enterprise
Direct Research Telecom,431033,12,2017-11-01,starter_pack
Direct Research Telecom,506641,12,2018-11-01,starter_pack
Direct Resource Electronic,10000,12,2013-06-01,starter_pack
Direct Resource Electronic,11976,24,2015-06-01,enterprise
Direct Resource Electronic,18026,12,2016-06-01,business_essentials
Direct Resource Electronic,17247,24,2018-06-01,starter_pack
Direct Resource Electronic,12893,12,2019-06-01,starter_pack
Direct Software Advanced,71045,24,2015-09-01,enterprise
Direct Source Analysis,42343,12,2016-02-01,business_essentials
